Chamber,Date,PQ No.,Format,Filename
Dáil,2012-03-21,165,jpg,DAL20120321-Q165.jpg
Dáil,2012-02-14,661,jpg,DAL20120214-Q661.jpg
Dáil,2012-02-14,106,jpg,DAL20120214-Q106.jpg
Dáil,2012-02-14,212,jpg,DAL20120214-Q212.jpg
Dáil,2012-02-14,313,jpg,DAL20120214-Q313.jpg
Dáil,2012-01-17,234,jpg,DAL20120117-Q234.jpg
Dáil,2012-01-11,489,jpg,DAL20120111-Q489-001.jpg
Dáil,2012-01-11,489,jpg,DAL20120111-Q489-002.jpg
Dáil,2011-10-12,16,jpg,DAL20111012-Q16-002.jpg
Dáil,2011-10-12,16,jpg,DAL20111012-Q16-001.jpg
Dáil,2011-06-22,,gif,DAL20110622_013.gif
Dáil,2011-06-22,,gif,DAL20110622_014.gif
Dáil,2010-06-30,246,gif,DAL20100630-Q246.gif
Committee of Public Accounts,2008-02-28,,jpg,ACC20082802fig5.jpg
Committee of Public Accounts,2008-02-28,,jpg,ACC20082802fig4.jpg
Committee of Public Accounts,2008-02-21,,jpg,acc20080221fig1.jpg
Committee of Public Accounts,2008-02-21,,jpg,acc20080221fig2.jpg
Committee of Public Accounts,2007-03-08,,gif,ACC20070308Fig12.2.gif
Committee of Public Accounts,2007-03-08,,gif,ACC20070308Fig12.1.gif
Committee of Public Accounts,2007-02-22,,gif,ACC20070222fig3.gif
Seanad,2006-12-07,,gif,SEN20061207EnergyEqn.gif
Committee of Public Accounts,2006-12-07,,gif,ACC20061207fig1.gif
Committee of Public Accounts,2006-10-19,,gif,ACC20061019map.gif
Committee of Public Accounts,2006-03-02,,gif,ACC20060302-Fig1.gif
Committee of Public Accounts,2006-03-02,,gif,ACC20060302-Fig2.gif
Committee of Public Accounts,2005-01-27,,gif,ACC20050127-Fig2.gif
Committee of Public Accounts,2005-01-27,,gif,ACC20050127-Fig3.gif
Committee of Public Accounts,2004-12-02,,gif,ACC20041202-pie.gif
Committee of Public Accounts,2003-05-15,,gif,ACC20030515fig2-original.gif
Committee of Public Accounts,2003-05-15,,gif,ACC20030515fig2.gif
Committee of Public Accounts,2003-05-15,,gif,ACC20030515fig2l.gif
Committee of Public Accounts,2003-05-15,,gif,ACC20030515fig1.gif
Committee of Public Accounts,2003-05-15,,gif,ACC20030515fig1-original.gif
Committee of Public Accounts,2003-03-06,,gif,acc20030306original.gif
Committee of Public Accounts,2003-03-06,,gif,acc20030306.gif
Committee of Public Accounts,2003-02-27,,gif,acc200302272.gif
Committee of Public Accounts,2003-02-27,,gif,Acc20030227.gif
Committee of Public Accounts,2001-11-27,,gif,acc20011127FIG1.gif
Committee of Public Accounts,2001-11-27,,gif,acc20011127FIG3.gif
Committee of Public Accounts,2001-11-27,,gif,acc20011127FIG2.gif
Committee of Public Accounts,2001-11-01,,gif,acc20011101fig2.gif
Committee of Public Accounts,2001-11-01,,gif,acc20011101fig1.gif
Committee of Public Accounts,2000-10-26,,gif,acc20001026.gif
